variety,yield_bu_ac,test_weight_lb_bu,protein_pct,height_in,maturity_days,trial_name,trial_year,location,wheat_class,planted_date,harvested_date,source,source_url
WA8401,82,61.2,10.7,32,147,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
Keldin (900k),81,63.7,11.8,33,144,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
Irv,81,62.9,12,34,151,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
LWH19-5663,81,61.9,11.6,31,147,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
LWH20-0490,81,62.9,11.3,31,143,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
LCS Evina,80,60.8,13.6,37,145,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
Millie,80,63.6,12.2,31,146,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
LCS Blackbird,79,61.1,12.6,28,145,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
WB4303,79,61.8,12.2,30,146,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
OR2190064R,79,62.2,11.9,30,143,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
WA8400,79,60,12.5,31,143,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
PN13201002-04,79,61.9,12.1,37,147,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
WA8369,78,61.9,12,29,152,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
LWH20-4802,78,63.4,12.4,33,147,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
WB4394,77,63.3,12.2,36,148,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
LCS Rocket,77,61.2,11.7,31,145,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
OR2170199R,77,60.6,12.1,31,147,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
WA8340,77,59.8,11.8,31,143,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
Milestone,76,61.6,12,31,144,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
OR2190160R,75,63.4,12,30,143,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
LCS Jet,74,61.4,12.4,30,145,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
Kairos,73,61.7,12.2,28,146,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
WB4311,72,63.9,12.5,31,145,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
Canvas,70,64.4,11.5,32,148,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
